Место:		Площадка
Скважина:	Скважина1
Направление:	ВЕРТИКАЛЬНАЯ
Один проход:	НЕТ
Измерение:	5
Создано:	03-04-2022 07:56:59
Завершено:	03-04-2022 14:32:16

Номер	Глубина		Ошибка		X1		Y1		X2		Y2		LX		LY		LR		AR
0	0.0		0.0		0.0		0.0		0.0		0.0		210.0		410.0		460.7		0.0
1	0.0		0.0		0.0		0.0		0.0		0.0		200.0		390.0		438.3		0.0
2	0.0		0.0		0.0		0.0		0.0		0.0		190.0		370.0		415.9		0.0
3	0.0		0.0		0.0		0.0		0.0		0.0		180.0		350.0		393.6		0.0
4	0.0		0.0		0.0		0.0		0.0		0.0		170.0		330.0		371.2		0.0
5	0.0		0.0		0.0		0.0		0.0		0.0		160.0		310.0		348.9		0.0
6	0.0		0.0		0.0		0.0		0.0		0.0		150.0		290.0		326.5		0.0
7	0.0		0.0		0.0		0.0		0.0		0.0		140.0		270.0		304.1		0.0
8	0.0		0.0		0.0		0.0		0.0		0.0		130.0		250.0		281.8		0.0
9	0.0		0.0		0.0		0.0		0.0		0.0		120.0		230.0		259.4		0.0
10	0.0		0.0		0.0		0.0		0.0		0.0		110.0		210.0		237.1		0.0
11	0.0		0.0		0.0		0.0		0.0		0.0		100.0		190.0		214.7		0.0
12	0.0		0.0		0.0		0.0		0.0		0.0		90.0		170.0		192.4		0.0
13	0.0		0.0		0.0		0.0		0.0		0.0		80.0		150.0		170.0		0.0
14	0.0		0.0		0.0		0.0		0.0		0.0		70.0		130.0		147.6		0.0
15	0.0		0.0		0.0		0.0		0.0		0.0		60.0		110.0		125.3		0.0
16	0.0		0.0		0.0		0.0		0.0		0.0		50.0		90.0		103.0		0.0
17	0.0		0.0		-839.7		0.0		644.6		0.0		40.0		70.0		80.6		0.0
18	0.0		0.0		0.0		0.0		0.0		0.0		30.0		50.0		58.3		0.0
19	0.0		0.0		0.0		0.0		0.0		0.0		20.0		30.0		36.1		0.0
20	0.0		0.0		0.0		0.0		0.0		0.0		10.0		10.0		14.1		0.0
